Year,Publisher,Games,Sales,Json
1995,SquareSoft,4,5.1,"{'Publisher':'SquareSoft','Games':4,'Sales':5.1},"
1995,Sunsoft,1,0.03,"{'Publisher':'Sunsoft','Games':1,'Sales':0.03},"
1995,Taito,2,0.06,"{'Publisher':'Taito','Games':2,'Sales':0.06},"
1995,Takara,1,0.05,"{'Publisher':'Takara','Games':1,'Sales':0.05},"
1995,Technos Japan Corporation,1,0.02,"{'Publisher':'Technos Japan Corporation','Games':1,'Sales':0.02},"
1995,Tecmo Koei,3,0.54,"{'Publisher':'Tecmo Koei','Games':3,'Sales':0.54},"
1995,Telstar,1,0.06,"{'Publisher':'Telstar','Games':1,'Sales':0.06},"
1995,THQ,2,0.63,"{'Publisher':'THQ','Games':2,'Sales':0.63},"
1995,Time Warner Interactive,1,0.08,"{'Publisher':'Time Warner Interactive','Games':1,'Sales':0.08},"
1995,Tomy Corporation,1,0.33,"{'Publisher':'Tomy Corporation','Games':1,'Sales':0.33},"
1995,U.S. Gold,2,0.18,"{'Publisher':'U.S. Gold','Games':2,'Sales':0.18},"
1995,Ubisoft,1,3.03,"{'Publisher':'Ubisoft','Games':1,'Sales':3.03},"
1995,Victor Interactive,2,0.09,"{'Publisher':'Victor Interactive','Games':2,'Sales':0.09},"
1995,Virgin Interactive,4,1.56,"{'Publisher':'Virgin Interactive','Games':4,'Sales':1.56},"
1995,Vivendi Games,1,0.02,"{'Publisher':'Vivendi Games','Games':1,'Sales':0.02},"
1995,Yumedia,1,0.06,"{'Publisher':'Yumedia','Games':1,'Sales':0.06},"
1996,Acclaim Entertainment,13,3.23,"{'Publisher':'Acclaim Entertainment','Games':13,'Sales':3.23},"
1996,Accolade,1,0.19,"{'Publisher':'Accolade','Games':1,'Sales':0.19},"
1996,Activision,3,1.95,"{'Publisher':'Activision','Games':3,'Sales':1.95},"
1996,Adeline Software,1,0.17,"{'Publisher':'Adeline Software','Games':1,'Sales':0.17},"
1996,American Softworks,1,0.23,"{'Publisher':'American Softworks','Games':1,'Sales':0.23},"
1996,ArtDink,2,0.22,"{'Publisher':'ArtDink','Games':2,'Sales':0.22},"
1996,ASC Games,1,1.31,"{'Publisher':'ASC Games','Games':1,'Sales':1.31},"
1996,ASCII Entertainment,5,2.87,"{'Publisher':'ASCII Entertainment','Games':5,'Sales':2.87},"
1996,ASK,1,0.03,"{'Publisher':'ASK','Games':1,'Sales':0.03},"
1996,Asmik Ace Entertainment,1,0.1,"{'Publisher':'Asmik Ace Entertainment','Games':1,'Sales':0.1},"
1996,Atlus,2,0.25,"{'Publisher':'Atlus','Games':2,'Sales':0.25},"
1996,Banpresto,2,1.06,"{'Publisher':'Banpresto','Games':2,'Sales':1.06},"
1996,BMG Interactive Entertainment,3,0.27,"{'Publisher':'BMG Interactive Entertainment','Games':3,'Sales':0.27},"
1996,Capcom,3,1.34,"{'Publisher':'Capcom','Games':3,'Sales':1.34},"
1996,ChunSoft,1,0.27,"{'Publisher':'ChunSoft','Games':1,'Sales':0.27},"
1996,Coconuts Japan,1,0.02,"{'Publisher':'Coconuts Japan','Games':1,'Sales':0.02},"
1996,Compile,1,0.02,"{'Publisher':'Compile','Games':1,'Sales':0.02},"
1996,Crystal Dynamics,2,0.59,"{'Publisher':'Crystal Dynamics','Games':2,'Sales':0.59},"
1996,CTO SpA,1,0.88,"{'Publisher':'CTO SpA','Games':1,'Sales':0.88},"
1996,Eidos Interactive,4,5.89,"{'Publisher':'Eidos Interactive','Games':4,'Sales':5.89},"
1996,Electronic Arts,13,7.9,"{'Publisher':'Electronic Arts','Games':13,'Sales':7.9},"
1996,Electronic Arts Victor,2,0.42,"{'Publisher':'Electronic Arts Victor','Games':2,'Sales':0.42},"
1996,Elf,1,0.36,"{'Publisher':'Elf','Games':1,'Sales':0.36},"
1996,Elite,1,0.07,"{'Publisher':'Elite','Games':1,'Sales':0.07},"
1996,Empire Interactive,1,0.41,"{'Publisher':'Empire Interactive','Games':1,'Sales':0.41},"
1996,Enix Corporation,4,1.79,"{'Publisher':'Enix Corporation','Games':4,'Sales':1.79},"
1996,Epoch,1,0.19,"{'Publisher':'Epoch','Games':1,'Sales':0.19},"
1996,Fox Interactive,1,1.54,"{'Publisher':'Fox Interactive','Games':1,'Sales':1.54},"
1996,From Software,1,0.26,"{'Publisher':'From Software','Games':1,'Sales':0.26},"
1996,FunSoft,1,0.12,"{'Publisher':'FunSoft','Games':1,'Sales':0.12},"
